Origin,Total_Flights,Cancelled_Flights,Cancellation_Rate
BUF,1579,225.0,0.14249525015832806
PDX,4275,394.0,0.09216374269005848
ANC,1130,102.0,0.09026548672566372
MDW,5886,491.0,0.08341828066598708
SEA,11751,965.0,0.08212067058122713
DSM,1252,101.0,0.08067092651757188
IAD,3988,282.0,0.07071213640922769
ORD,20321,1420.0,0.0698784508636386
EWR,10176,706.0,0.06937893081761007
BNA,7556,522.0,0.06908417151932239
MKE,2161,145.0,0.06709856547894494
GRR,1569,99.0,0.06309751434034416
IAH,8933,562.0,0.06291279525355424
TYS,1117,70.0,0.06266786034019696
OMA,1904,109.0,0.05724789915966386
DCA,11486,654.0,0.056938882117360264
SFO,10133,574.0,0.0566466002171124
CLE,3107,169.0,0.05439330543933055
KOA,1402,73.0,0.05206847360912981
SAN,7075,353.0,0.04989399293286219
